                        Flux (/cm^2/1E21p.o.t/50MeV)
Bin#    Energy (GeV)    numu            anti-numu       nue             anti-nue
---------------------------------------------------------------------------------
1        0.00- 0.05     1.73e+04        1.23e+04        3.82e+01        1.61e+02
2        0.05- 0.10     5.60e+04        5.25e+04        1.60e+02        9.08e+02
3        0.10- 0.15     4.15e+04        1.10e+05        2.88e+02        1.95e+03
4        0.15- 0.20     3.22e+04        1.70e+05        4.02e+02        2.88e+03
5        0.20- 0.25     3.06e+04        2.51e+05        4.99e+02        3.60e+03
6        0.25- 0.30     3.00e+04        3.41e+05        5.85e+02        4.18e+03
7        0.30- 0.35     3.05e+04        4.42e+05        6.44e+02        4.55e+03
8        0.35- 0.40     3.25e+04        5.40e+05        6.80e+02        4.82e+03
9        0.40- 0.45     3.33e+04        6.43e+05        7.02e+02        4.86e+03
10       0.45- 0.50     3.34e+04        7.77e+05        7.12e+02        4.89e+03
11       0.50- 0.55     3.44e+04        9.44e+05        7.23e+02        4.79e+03
12       0.55- 0.60     3.37e+04        1.04e+06        7.02e+02        4.63e+03
13       0.60- 0.65     3.45e+04        1.02e+06        6.98e+02        4.37e+03
14       0.65- 0.70     3.24e+04        9.30e+05        6.77e+02        4.07e+03
15       0.70- 0.75     3.06e+04        7.27e+05        6.63e+02        3.79e+03
16       0.75- 0.80     2.79e+04        5.02e+05        6.41e+02        3.45e+03
17       0.80- 0.85     2.60e+04        3.25e+05        6.29e+02        3.21e+03
18       0.85- 0.90     2.49e+04        2.04e+05        6.08e+02        2.90e+03
19       0.90- 0.95     2.36e+04        1.41e+05        5.96e+02        2.63e+03
20       0.95- 1.00     2.36e+04        1.03e+05        5.73e+02        2.36e+03
21       1.00- 1.05     2.10e+04        8.27e+04        5.52e+02        2.06e+03
22       1.05- 1.10     2.02e+04        6.69e+04        5.46e+02        1.86e+03
23       1.10- 1.15     1.90e+04        5.72e+04        5.27e+02        1.67e+03
24       1.15- 1.20     1.75e+04        4.79e+04        5.14e+02        1.45e+03
25       1.20- 1.25     1.67e+04        4.24e+04        5.11e+02        1.33e+03
26       1.25- 1.30     1.53e+04        3.59e+04        4.95e+02        1.15e+03
27       1.30- 1.35     1.45e+04        3.32e+04        4.81e+02        1.05e+03
28       1.35- 1.40     1.35e+04        2.81e+04        4.61e+02        9.65e+02
29       1.40- 1.45     1.22e+04        2.62e+04        4.56e+02        8.80e+02
30       1.45- 1.50     1.17e+04        2.38e+04        4.47e+02        8.42e+02
31       1.50- 1.55     1.10e+04        2.19e+04        4.35e+02        7.70e+02
32       1.55- 1.60     1.10e+04        1.94e+04        4.25e+02        7.26e+02
33       1.60- 1.65     9.75e+03        1.79e+04        4.18e+02        6.82e+02
34       1.65- 1.70     9.54e+03        1.63e+04        3.95e+02        6.59e+02
35       1.70- 1.75     9.12e+03        1.50e+04        3.99e+02        6.17e+02
36       1.75- 1.80     8.51e+03        1.41e+04        3.80e+02        5.99e+02
37       1.80- 1.85     9.02e+03        1.32e+04        3.71e+02        5.69e+02
38       1.85- 1.90     8.02e+03        1.19e+04        3.65e+02        5.37e+02
39       1.90- 1.95     7.39e+03        1.11e+04        3.57e+02        5.48e+02
40       1.95- 2.00     7.35e+03        1.07e+04        3.42e+02        5.06e+02
41       2.00- 2.05     6.64e+03        9.85e+03        3.36e+02        5.00e+02
42       2.05- 2.10     6.70e+03        9.54e+03        3.32e+02        4.80e+02
43       2.10- 2.15     6.40e+03        8.70e+03        3.21e+02        4.81e+02
44       2.15- 2.20     6.05e+03        8.42e+03        3.05e+02        4.46e+02
45       2.20- 2.25     6.17e+03        7.87e+03        3.01e+02        4.33e+02
46       2.25- 2.30     6.02e+03        7.57e+03        2.99e+02        4.27e+02
47       2.30- 2.35     5.28e+03        6.94e+03        2.90e+02        4.12e+02
48       2.35- 2.40     4.99e+03        6.74e+03        2.79e+02        3.95e+02
49       2.40- 2.45     5.14e+03        6.32e+03        2.77e+02        3.83e+02
50       2.45- 2.50     5.08e+03        6.20e+03        2.63e+02        3.69e+02
51       2.50- 2.55     4.53e+03        5.94e+03        2.64e+02        3.60e+02
52       2.55- 2.60     4.43e+03        5.75e+03        2.55e+02        3.49e+02
53       2.60- 2.65     4.26e+03        5.77e+03        2.45e+02        3.36e+02
54       2.65- 2.70     4.26e+03        5.54e+03        2.40e+02        3.25e+02
55       2.70- 2.75     4.07e+03        5.09e+03        2.43e+02        3.05e+02
56       2.75- 2.80     3.67e+03        4.99e+03        2.34e+02        3.05e+02
57       2.80- 2.85     3.52e+03        5.03e+03        2.20e+02        2.94e+02
58       2.85- 2.90     3.32e+03        4.52e+03        2.19e+02        2.73e+02
59       2.90- 2.95     3.55e+03        4.56e+03        2.08e+02        2.67e+02
60       2.95- 3.00     3.44e+03        4.61e+03        2.02e+02        2.56e+02
61       3.00- 3.05     3.33e+03        4.25e+03        1.95e+02        2.52e+02
62       3.05- 3.10     2.99e+03        4.29e+03        1.92e+02        2.48e+02
63       3.10- 3.15     2.71e+03        4.16e+03        1.90e+02        2.25e+02
64       3.15- 3.20     2.57e+03        4.16e+03        1.78e+02        2.19e+02
65       3.20- 3.25     2.62e+03        3.93e+03        1.72e+02        2.13e+02
