#Reverse horn current NuMI nuebar flux at the NOvA near detector
#emin: Minimum Energy (GeV), emax: Maximum Energy (GeV)
#nus: Neutrinos/m2/1M POTs
#fe: Fractional Uncertainty
#emin    emax    nus      fe
  0.0    0.5   0.0571   0.112
  0.5    1.0   0.1254   0.092
  1.0    1.5   0.1425   0.099
  1.5    2.0   0.1339   0.097
  2.0    2.5   0.1120   0.087
  2.5    3.0   0.0835   0.130
  3.0    3.5   0.0603   0.093
  3.5    4.0   0.0449   0.101
  4.0    4.5   0.0360   0.093
  4.5    5.0   0.0313   0.109
  5.0    6.0   0.0556   0.105
  6.0    7.0   0.0482   0.101
  7.0    8.0   0.0412   0.096
  8.0    9.0   0.0333   0.110
  9.0   10.0   0.0274   0.126
 10.0   12.0   0.0339   0.123
 12.0   14.0   0.0187   0.159
 14.0   16.0   0.0096   0.220
 16.0   18.0   0.0065   0.200
 18.0   20.0   0.0039   0.251
