# MicroBooNE BNB flux
# Based on MCC9_FluxHist_volTPCActive.root
# scaled to nu/POT/bin/cm2 
# BinMid    Nue NuMu    Nutau   NuEbar  NuMuBar nuTauBar
0.025   2.29639e-14 3.16949e-12 0.0 7.41787e-15 3.54203e-12 0.0
0.075   8.59387e-14 1.19036e-11 0.0 1.86954e-14 7.96797e-12 0.0
0.125   1.42461e-13 1.52909e-11 0.0 1.8032e-14  4.51835e-12 0.0
0.175   1.61364e-13 1.84512e-11 0.0 1.90305e-14 2.78077e-12 0.0
0.225   1.43955e-13 2.29008e-11 0.0 1.53182e-14 2.23672e-12 0.0
0.275   1.55594e-13 2.51116e-11 0.0 1.24502e-14 1.92867e-12 0.0
0.325   1.54288e-13 2.68524e-11 0.0 1.4494e-14  1.81406e-12 0.0
0.375   1.48518e-13 2.80792e-11 0.0 1.25708e-14 1.77047e-12 0.0
0.425   1.46481e-13 2.98084e-11 0.0 1.48223e-14 1.62016e-12 0.0
0.475   1.40269e-13 3.10655e-11 0.0 1.3194e-14  1.4739e-12  0.0
0.525   1.42889e-13 3.16232e-11 0.0 1.55192e-14 1.34217e-12 0.0
0.575   1.30225e-13 3.17238e-11 0.0 1.05941e-14 1.19885e-12 0.0
0.625   1.36664e-13 3.14484e-11 0.0 1.14116e-14 1.11306e-12 0.0
0.675   1.24201e-13 3.10473e-11 0.0 1.11234e-14 1.05987e-12 0.0
0.725   1.17714e-13 3.0593e-11  0.0 1.11033e-14 9.6376e-13  0.0
0.775   1.11395e-13 2.99669e-11 0.0 1.15255e-14 9.14468e-13 0.0
0.825   1.03408e-13 2.88234e-11 0.0 8.67763e-15 8.04587e-13 0.0
0.875   9.77054e-14 2.77519e-11 0.0 7.16993e-15 7.07291e-13 0.0
0.925   9.19293e-14 2.64925e-11 0.0 7.27045e-15 6.92415e-13 0.0
0.975   8.96041e-14 2.50811e-11 0.0 8.26888e-15 6.45153e-13 0.0
1.025   8.64882e-14 2.3708e-11  0.0 7.00911e-15 6.0866e-13  0.0
1.075   8.36001e-14 2.2243e-11  0.0 6.98231e-15 5.35313e-13 0.0
1.125   8.36336e-14 2.07311e-11 0.0 6.99571e-15 5.07859e-13 0.0
1.175   7.68389e-14 1.93117e-11 0.0 6.8885e-15  4.75601e-13 0.0
1.225   7.04262e-14 1.77404e-11 0.0 7.36426e-15 4.51331e-13 0.0
1.275   6.94747e-14 1.62287e-11 0.0 5.76945e-15 4.1723e-13  0.0
1.325   6.70288e-14 1.47193e-11 0.0 5.13287e-15 3.82412e-13 0.0
1.375   6.32227e-14 1.32362e-11 0.0 5.62203e-15 3.47789e-13 0.0
1.425   5.78955e-14 1.16699e-11 0.0 5.86326e-15 3.1273e-13  0.0
1.475   5.43709e-14 1.02133e-11 0.0 4.91844e-15 2.91146e-13 0.0
1.525   5.10674e-14 8.86877e-12 0.0 4.36227e-15 2.62279e-13 0.0
1.575   4.85746e-14 7.66886e-12 0.0 5.08596e-15 2.47845e-13 0.0
1.625   4.38371e-14 6.50499e-12 0.0 4.38237e-15 2.13832e-13 0.0
1.675   4.12573e-14 5.50528e-12 0.0 4.28856e-15 1.92664e-13 0.0
1.725   3.99707e-14 4.6305e-12  0.0 4.16794e-15 1.67173e-13 0.0
1.775   3.98367e-14 3.82763e-12 0.0 4.20145e-15 1.53544e-13 0.0
1.825   3.42013e-14 3.15146e-12 0.0 4.07413e-15 1.29367e-13 0.0
1.875   3.63254e-14 2.58616e-12 0.0 4.10093e-15 1.13982e-13 0.0
1.925   3.36183e-14 2.0783e-12  0.0 3.61847e-15 9.83822e-14 0.0
1.975   3.31626e-14 1.69485e-12 0.0 3.55816e-15 8.74665e-14 0.0
2.025   2.81772e-14 1.36642e-12 0.0 3.35044e-15 7.53044e-14 0.0
2.075   2.43309e-14 1.1058e-12  0.0 3.02879e-15 6.35042e-14 0.0
2.125   2.51819e-14 9.07982e-13 0.0 2.49272e-15 5.21462e-14 0.0
2.175   2.41566e-14 7.42041e-13 0.0 3.30353e-15 4.67252e-14 0.0
2.225   2.2133e-14  6.15663e-13 0.0 2.3252e-15  4.02454e-14 0.0
2.275   2.12351e-14 5.28605e-13 0.0 2.21799e-15 3.39868e-14 0.0
2.325   1.8682e-14  4.55867e-13 0.0 2.23139e-15 2.85524e-14 0.0
2.375   1.77104e-14 4.06361e-13 0.0 2.11078e-15 2.23541e-14 0.0
2.425   1.82733e-14 3.60239e-13 0.0 2.2984e-15  2.00959e-14 0.0
2.475   1.5412e-14  3.36833e-13 0.0 1.61491e-15 1.74156e-14 0.0
2.525   1.60754e-14 3.14593e-13 0.0 1.83604e-15 1.38239e-14 0.0
2.575   1.3509e-14  2.95817e-13 0.0 1.72883e-15 1.21487e-14 0.0
2.625   1.32677e-14 2.81135e-13 0.0 1.66852e-15 1.01049e-14 0.0
2.675   1.20683e-14 2.62038e-13 0.0 1.36028e-15 9.07968e-15 0.0
2.725   1.12039e-14 2.56536e-13 0.0 1.40048e-15 7.45137e-15 0.0
2.775   1.00781e-14 2.49393e-13 0.0 1.15925e-15 5.64214e-15 0.0
2.825   9.66266e-15 2.33385e-13 0.0 1.40048e-15 5.21328e-15 0.0
2.875   9.01267e-15 2.23488e-13 0.0 1.10564e-15 5.05246e-15 0.0
2.925   8.69103e-15 2.19755e-13 0.0 9.31421e-16 3.30353e-15 0.0
2.975   7.84672e-15 2.12806e-13 0.0 8.84515e-16 3.45765e-15 0.0
3.025   7.18334e-15 2.09422e-13 0.0 8.04105e-16 2.61334e-15 0.0
3.075   7.00241e-15 2.01468e-13 0.0 9.85028e-16 2.3386e-15  0.0
3.125   6.1112e-15  1.90137e-13 0.0 8.10806e-16 2.39221e-15 0.0
3.175   5.95038e-15 1.8942e-13  0.0 4.28856e-16 1.67522e-15 0.0
3.225   5.3607e-15  1.83631e-13 0.0 6.96891e-16 1.45409e-15 0.0
3.275   4.91174e-15 1.77138e-13 0.0 6.03079e-16 1.15925e-15 0.0
3.325   4.53649e-15 1.70195e-13 0.0 6.1648e-16  8.51011e-16 0.0
3.375   4.02052e-15 1.66255e-13 0.0 4.95865e-16 9.9843e-16  0.0
3.425   3.93341e-15 1.61444e-13 0.0 5.56172e-16 1.13915e-15 0.0
3.475   3.53136e-15 1.51902e-13 0.0 4.48959e-16 5.82976e-16 0.0
3.525   3.069e-15   1.49892e-13 0.0 3.8195e-16  1.25306e-15 0.0
3.575   2.86797e-15 1.43948e-13 0.0 3.14941e-16 4.15454e-16 0.0
3.625   2.94838e-15 1.35043e-13 0.0 3.95352e-16 4.69061e-16 0.0
3.675   2.41231e-15 1.3582e-13  0.0 2.74736e-16 6.23181e-16 0.0
3.725   2.77416e-15 1.25105e-13 0.0 3.61847e-16 6.49985e-16 0.0
3.775   2.03707e-15 1.22753e-13 0.0 3.28343e-16 6.1648e-16  0.0
3.825   1.81594e-15 1.17486e-13 0.0 1.80924e-16 1.74223e-16 0.0
3.875   1.72212e-15 1.1289e-13  0.0 2.41231e-16 4.89164e-16 0.0
3.925   1.46749e-15 1.08226e-13 0.0 2.74736e-16 2.54633e-16 0.0
3.975   1.46749e-15 1.03267e-13 0.0 2.2783e-16  2.07727e-16 0.0
4.025   1.23296e-15 9.73503e-14 0.0 1.40718e-16 1.60821e-16 0.0
4.075   1.14585e-15 9.13932e-14 0.0 1.20616e-16 4.69061e-17 0.0
4.125   1.12575e-15 8.9584e-14  0.0 1.40718e-16 1.20616e-16 0.0
4.175   1.09894e-15 8.61062e-14 0.0 1.27317e-16 4.82463e-16 0.0
4.225   9.71627e-16 8.05981e-14 0.0 1.07214e-16 1.34017e-16 0.0
4.275   8.10806e-16 7.89765e-14 0.0 8.71114e-17 7.37096e-17 0.0
