#Forward horn current NuMI nue flux at the NOvA near detector
#emin: Minimum Energy (GeV), emax: Maximum Energy (GeV)
#nus: Neutrinos/m2/1M POTs
#fe: Fractional Uncertainty
#emin    emax    nus      fe
  0.0    0.5   0.0707   0.118
  0.5    1.0   0.1502   0.112
  1.0    1.5   0.1783   0.093
  1.5    2.0   0.1635   0.105
  2.0    2.5   0.1387   0.097
  2.5    3.0   0.1076   0.096
  3.0    3.5   0.0827   0.081
  3.5    4.0   0.0655   0.088
  4.0    4.5   0.0576   0.096
  4.5    5.0   0.0513   0.095
  5.0    6.0   0.0943   0.094
  6.0    7.0   0.0853   0.099
  7.0    8.0   0.0750   0.089
  8.0    9.0   0.0653   0.104
  9.0   10.0   0.0524   0.103
 10.0   12.0   0.0710   0.105
 12.0   14.0   0.0393   0.137
 14.0   16.0   0.0235   0.159
 16.0   18.0   0.0143   0.185
 18.0   20.0   0.0087   0.262
